city,state,country,product_type,event_id,recalling_firm,address_1,product_description,reason_for_recall
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Melbourne,FL,United States,Food,89230,"Joy's International Foods, Incorporated",2600 Aurora Rd Ste Q,"Joy's Gourmet Blast Off! Bloody Mary Mix, Net Wt. 24 Oz",Undeclared Fish and Soy
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,BlakeFit Everyday All-in-one Lime Watermelon 44oz Jar UPC CODE X002J9E9KD 323359000058,During an FDA investigation the firm was notified that the product contains undeclared milk.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Organic Baby Arugula"" (salad product) packed in 5oz. and 16oz. packages",potential to be contaminated with Listeria monocytogenes
Thomasville,GA,United States,Food,89239,Flowers Foods (Corporate Offices),1919 Flowers Cir,"Nature's Own Honey Wheat Bread, NET WT 20 oz (1LB 4 OZ) 567g, DISTRIBUTED BY FLOWERS BAKERIES, LLC THOMASVILLE, GA 31757 Single loaf UPC 0 72250 03706 8 & Double pack UPC 0 72250 00539 5",Undeclared milk
Nebraska City,NE,United States,Food,89371,"WayFare Health Foods, LLC.",1320 S 19th St,"Wayfare Dairy Free Butter Salted & Whipped,",Product showed suspected mold growth prior to expiration date.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 9.8 oz  Chopped Teriyaki Pineapple Kit   UPC: 0-71430-00100-4  SKU: 791  Dole 9.8 oz  Chopped Teriyaki Pineapple Kit / Teriyaki A L'ananas  UPC: ¿0-71430-00182-0  SKU 1014,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,OTAK Innovations OTAK:AM Capsules 90ct Bottle UPC CODE 4 08012 0204,During an FDA investigation the firm was notified that the product contains undeclared milk.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Chopped Caesar"" (salad product) packed in 9.4oz., 10.4oz., and 10.5oz. packages",potential to be contaminated with Listeria monocytogenes
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Chopped Southwest"" (salad product) packed in 10.3oz. packages",potential to be contaminated with Listeria monocytogenes
Fredericksburg,VA,United States,Food,89213,"Lidl US Operations, LLC",6120 Smith Station Rd,Vemondo Vegan Coconut & Cocoa Non-Dairy Dessert Cones 4-3.7 fl ounces (110 mL) cones UPC  4 056489 468646,Undeclared milk allergen
